Trbc2,A0A075B5J4
Ms4a12,A0A087WSB9
Rsbn1l,A0A0G2JEI9
Mroh3,A0A1D5RM54
Cnksr1,A2A9K7
Btnl6,A2CG22
Btnl4,A2CG29
Rnf39,A2RT81
Malat1,B0LAE7
Vps13d,B1ART1
Phactr2,B1AVP0
Atp10b,B1AWN4
Tmem243,B2RVB9
Abca12,B2RY21
Phf11b,B4XVQ1
Duox2,B7ZWM4
Nup205,B9EJ54
Pigg,D3Z4I0
Tada2b,D3Z4Z0
Maml3,D4QGC2
Fer1l6,E0CZ42
Adap1,E9PY16
Lmo7,E9PYF4
Fndc1,E9Q043
Elmsan1,E9Q2I4
Prss32,E9Q409
Kif13b,E9Q4K7
Ccdc71l,E9Q4T4
Ahnak,E9Q616
Plekha5,E9Q6H8
Utrn,E9Q6R7
Zfp597,E9Q6S0
Prr14l,E9Q7C4
Tsc22d2,E9Q7M2
Spryd3,E9Q9B3
Cdh18,E9Q9Q6
Fbrsl1,E9Q9T0
Zfp626,E9QA60
Btaf1,E9QAE3
Akr1c19,G3X9Y6
Myh2,I6L963
Fignl2,J3QK54
Cyp2d34,L7N463
Muc3,O35419
Hist1h2bj,P10853
Pvrl2,P32507
Dusp5,Q1HL35
Mlh3,Q3TRU3
Sh3tc1,Q3TXV8
Zfp217,Q3U0X6
Rsf1,Q3UJ04
Slfn4,Q3UV10
Fam46a,Q3V3I9
Slc9a2,Q3ZAS0
Pdp2,Q504M2
Igkv8-30,Q52L64
Rpl14-ps1,Q569Z0
Ifngr2,Q63953
Zfc3h1,Q6A049
Zfp655,Q6P8W7
Bptf,Q6P9L3
Trak2,Q6P9N8
Mgam,Q6XK24
Atp11b,Q6ZQ17
Hist1h2bc,Q6ZWY9
Airn,Q78TB4
Gbp7,Q78UK8
Zfp644,Q80TH4
Fryl,Q80XD5
Trip11,Q811I5
Phf3,Q8BLA7
Nup153,Q8BRF6
Akap11,Q8BSJ2
Kbtbd2,Q8BSY6
Baz2b,Q8C0K4
Slc25a16,Q8C0K5
Fcgbp,Q8C5Q6
Tug1,Q8CI88
Pvr,Q8K094
Ugt2b34,Q8K154
Phip,Q8VDD9
Akr1c14,Q91WT7
Dusp16,Q920R2
Tcf7l2,Q924A0
Plagl2,Q925T4
Sval1,Q9D2X6
Prss8,Q9ESD1
Slc40a1,Q9JHI9
Kcnk5,Q9JK62
Fat1,Q9QXA3
Akr1c12,Q9R0M7
Pdpk1,Q9Z2A0
Rbm6,S4R1W5
n-R5s217,
Gm25682 RP23-245C15.1,
Gm23680,
Gm25587,
n-R5s69 Galnt10,Q6P9S7
Gm22456,
Kdm6b Tmem88,Q5NCY0 Q9D0N8
n-R5s72,
RP23-468D17.1,
n-R5s62,
n-R5s60,
Gm23502,
Gm23999 Cacna2d3,Q9Z1L5
RP24-288B1.2,
n-R5s40 Gtpbp1,O08582
RP23-85E24.3,
Gm23238,
Ppnr Tcf7l2,Q78DZ5 Q924A0
Neat1,
Pax6os1,
Gm23152 Prex1,B4II61 Q69ZK0
Taf4,G5E8Z2
Gm23511,
Gm23279,
Gm22042,
Gm23540 Zmpste24,Q80W54
RP23-192C21.1,
WI1-166E14.1,
Gm26264,
Gm23510 Frmd4b,Q920B0
n-R5s86,
RP23-424C4.5,
n-R5s13,
RP24-426M1.3,
n-R5s210,
Gm23212 Gas5,V9H0V2
Snord87 Snhg6,
AC124550.3,
Chchd10,Q7TNL9
RP23-233B6.2,
Galnt4 Poc1b,O08832 Q8BHD1
Gm27783,
Myl6 Myl6b,Q60605 Q8CI43
RP23-289H16.2,
RP23-465K20.5,
RP23-67J22.4,
Trappc1 Kcnab3,Q5NCF2 P97382
Nmt1 Gm26668,O70310
RP23-242C19.7,
RP23-188K3.6,
RP23-176J13.6,
RP23-349B15.4,
Mampt,
n-R5s65 RP23-218E7.2,
RP24-342G5.6,
n-R5s58,
RP23-43G12.1,
RP24-234J3.3,
Igha,Igha
Hist1h4d,P62806
RP23-92G13.4,
Fam8a1,Q3TBV3
RP23-189B9.5 AC130827.2,
RP24-196I12.2 RP24-540A17.2,
RP23-283N14.2,
Hist1h1e Hist1h2be,P43274 Q6ZWY9
Gpbp1 RP23-359G8.3,Q6NXH3
Sec24c,Q8CGF4
Pnp2,Q9D8C9
n-R5s46,
RP23-127E21.1,
Rnu12,
RP23-230O9.4,
Mkl1,
RP23-212I23.1,
Usf3,B2RUQ2
Sept5 Gp1bb,Q9Z2Q6 P56400
RP24-221F4.2,
Tmem8 Mrpl28,Q9ESN3 Q9D1B9
Gm22589 Ddx39b,Q9Z1N5
RP23-81C12.1,
RP23-81C12.3,
RP23-345D6.8-1,
n-R5s28,
RP24-318I24.1,
Gm25555 Zfp811,Q80WT1
Btnl5-ps,
RP24-180B11.5,
n-R5s25,
Eif4ebp3 Ankhd1,Q80VV3 Q8C103
Chmp1b Gnal,Q99LU0 Q8CGK7
n-R5-8s1,
RP23-140G16.1,
Gm23997,
Gm23246 Snhg1,
AC132303.1,
Ndufs8 Tcirg1,Q8K3J1 Q9JL11
RP23-41B18.5,
RP23-341M13.1,
Ifit1bl1,E9PXF7
Lrrc8a RP23-395P6.10,Q80WG5
RP23-16O15.2,
RP23-297K24.1,
RP23-22A15.2,
Trp53rkb,Q543M9
Ctnnd1 RP23-387F9.7,P30999
n-R5s205,
RP23-199B10.2,
RP23-207P16.1,
RP24-114E18.6,
RP24-114E18.8,
Dido1,Q8C9B9
Gm23330 Dnajc5b,Q9CQ94
RP23-243E17.1,
RP23-346I1.1 Mgst2,A2RST1
Sprr2a2,
Gm23686 Cyp7b1,Q60991
Trim2,Q9ESN6
RP23-37G19.2,
Clca4b,Q3UW98
Pakap,F7AA26
Gm26400,
RP23-398D18.4,
Gm25099,
Gm23143,
RP24-16C11.2,
RP23-273D6.2,
RP23-153M14.4,
Gpatch3 Gpn2,Q8BIY1 Q8VEJ1
RP23-406N5.7,
RP23-211P15.1,
Gm26330 Rps8,P62242
RP23-284L6.7,
Snhg3 Rcc1,Q8VE37
Btbd8 RP23-32E20.1,D3YUB6
Rplp0 Gcn1l1,P14869 E9PVA8
AC126938.1,
Gm24525 Zfp804b,F6QGP8
RP23-110C17.2,
AC167815.1,
RP23-67P7.1,
CAAA01224633.1,
Muc3a,Q3U5A2
RP23-338E5.2,
RP24-459E13.2,
RP23-281H4.3,
Il17rc Creld1,Q8K4C2 Q91XD7
RP23-343E20.2,
RP23-392I2.3 Wasl,Q91YD9
Hoxa3 Hoxa6,P02831 P09092
RP23-448G18.4,
Gt(ROSA)26Sor,
RP24-127M20.8,
RP23-421B1.2,
n-R5s150,
RP23-386F15.3,
Tmc4 Leng1,Q7TQ65 Q9DB98
n-R5s152,
AC164564.3,
RP23-32A8.1,
RP23-285C18.2,
AC124566.2,
Ppfia1,B2RXW8
RP23-359B23.5,
AC124713.2,
AC163442.1 AC114005.5,
Dpep1 AC114005.5,P31428
RP23-310J6.1,
RP24-345M16.1,
Snord14c Hspa8,P63017
Snord14d Hspa8,P63017
Pkm Gramd2,P52480 Q3V3G7
Snord16a Rpl4,Q9D8E6
Myo5c,E9Q1F5
Tmppe,D3Z286
Gm24044 Rpsa,P14206
Tirap,Q99JY1
RP23-437A9.3,
Nbeal2 Nradd,Q6ZQA0 Q8CJ26
n-R5s90 Stac,P97306
mt-Rnr1,
mt-Rnr2,
mt-Tl1,
mt-Ti,
mt-Tm,
mt-Ts2,
mt-Tq,
mt-Ta,
mt-Tc,
RP23-145N17.1,
Gm23806 Map7d2,A2AG50
Xist,
RP23-284F8.1,