Abca12,B2RY21
Adap1,E9PY16
Agl,F8VPN4
Ahnak,E9Q616
Airn,Q78TB4
Akap11,Q8BSJ2
Akr1c12,Q9R0M7
Akr1c19,G3X9Y6
Ankrd50,Q3UI28
Arhgef11,Q68FM7
Atad2b,E9Q166
Atp10b,B1AWN4
Atp11b,Q6ZQ17
Baz2b,Q8C0K4
BC016579,E9QP50
Bptf,Q6P9L3
Brd1,B2RRD7
Brpf3,B2KF05
Btaf1,E9QAE3
Btnl5-ps,
Btnl6,A2CG22
Ccdc28a,Q3UFK1
Ccdc71l,E9Q4T4
Cnksr1,A2A9K7
Cyp2d34,L7N463
Ddx60,Q811K8
Dgkd,E9PUQ8
Dgkh,D3YXJ0
Dot1l,Q6XZL8
Duox2,B7ZWM4
Dusp16,Q920R2
Dusp5,Q1HL35
Dusp9,Q7TNL7
Efnb2,P52800
Elmsan1,E9Q2I4
Entpd6,Q3U0P5
Fam46a,Q3V3I9
Fam84b,D3YXJ5
Fam98c,E9PYD1
Fat1,Q9QXA3
Fbrsl1,E9Q9T0
Fcgbp,Q8C5Q6
Fer1l6,E0CZ42
Fignl2,J3QK54
Fndc1,E9Q043
Fryl,Q80XD5
Gbp7,Q78UK8
Gm23095,
Gt(ROSA)26Sor,
H2-Q2,Q4KN81
H3f3a,E0CZ27
Hist1h2bj,P10853
Ifngr2,Q63953
Ighv5-4,A0A075B5P9
Igkv5-39,Q65ZI1
Igkv8-30,Q52L64
Kbtbd2,Q8BSY6
Kcnk5,Q9JK62
Kif13b,E9Q4K7
Lmo7,E9PYF4
Malat1,B0LAE7
Maml3,D4QGC2
March3,Q8BRX9
March6,Q6ZQ89
March7,Q9WV66
March8,Q9DBD2
Mgam,Q6XK24
Mgst2,A2RST1
Mlh3,Q3TRU3
Mroh3,A0A1D5RM54
Ms4a12,A0A087WSB9
mt-Rnr2,
mt-Tc,
mt-Ti,
mt-Tq,
Muc3,O35419
Nbeal1,E9PYP2
Ncoa3,O09000
Neat1,
Nup153,Q8BRF6
Nup205,B9EJ54
Pdp2,Q504M2
Pdpk1,Q9Z2A0
Phactr2,B1AVP0
Phf11b,B4XVQ1
Phf3,Q8BLA7
Phip,Q8VDD9
Pigg,D3Z4I0
Pik3c2b,E9QAN8
Pip5k1a,P70182
Pip5k1b,P70181
Pla2g10os,
Plagl2,Q925T4
Plekha5,E9Q6H8
Prr14l,E9Q7C4
Prss32,E9Q409
Prss8,Q9ESD1
Pvr,Q8K094
Pvrl2,P32507
Qser1,Q3UR75
R3hdm1,Q80ZH9
Rbm6,S4R1W5
Rnf39,A2RT81
RP23-32A8.1,
RP23-81K14.2,
RP24-426M1.3,
Rpl14-ps1,Q569Z0
Rsbn1l,A0A0G2JEI9
Rsf1,Q3UJ04
Sec24b,Q6PFZ1
Sept2,P42208
Sept5,Q9Z2Q6
Sept7,O55131
Sh3tc1,Q3TXV8
Skiv2l,Q6NZR5
Slc25a16,Q8C0K5
Slc40a1,Q9JHI9
Slc9a2,Q3ZAS0
Slfn4,Q3UV10
Sprr2a2,
Spryd3,E9Q9B3
Sval1,Q9D2X6
Tada2b,D3Z4Z0
Tcf7l2,Q924A0
Tex264,Q99LS5
Tmed7,D3YZZ5
Tmem243,B2RVB9
Trak2,Q6P9N8
Trbc2,A0A075B5J4
Trip11,Q811I5
Tsc22d2,E9Q7M2
Tug1,Q8CI88
Ubap2,Q91VX2
Ugt2b34,Q8K154
Utrn,E9Q6R7
Vps13d,B1ART1
Xist,
Zbtb10,E9Q8X5
Zfc3h1,Q6A049
Zfp217,Q3U0X6
Zfp386,Q1WWJ5
Zfp597,E9Q6S0
Zfp626,E9QA60
Zfp644,Q80TH4
Zfp655,Q6P8W7
Zfp871,Q80XN4
Zfp874a,Q8BX23
Zfyve9,A8Y5G5
Zmynd8,Q80Y82